pickup_longitude,pickup_latitude,pickup_date,pickup_time,pickup_hour,farePerDistance,trip_distance,fare_amount,dropoff_longitude,dropoff_latitude,dropoff_date,dropoff_time,dropoff_hour,payment_type,WWH,pickup_block_int,dropoff_block_int
-73.99730682,40.76306152,4/15/15,2:20:29,2,3.333333333,4.8,16,-73.95508575,40.81998444,4/15/15,2:36:21,2,1,1,14,9
-73.94489288,40.80748749,4/28/15,23:13:52,23,3.340757238,4.49,15,-73.96831512,40.75521088,4/28/15,23:27:23,23,1,1,175,21
-73.98278809,40.74217987,4/29/15,2:35:41,2,3.455284553,4.92,17,-73.95223236,40.69321823,4/29/15,2:51:13,2,1,1,79,73
-73.98216248,40.74309158,4/29/15,8:08:31,8,6.41025641,1.56,10,-74.00330353,40.74910736,4/29/15,8:21:00,8,0,1,75,90
-73.98022461,40.73064423,4/29/15,11:42:53,11,6.666666667,1.8,12,-73.97084808,40.74930954,4/29/15,11:59:23,11,0,1,108,21
-73.95793915,40.776371,4/29/15,15:27:27,15,6.038647343,2.07,12.5,-73.98235321,40.77122879,4/29/15,15:44:18,15,0,1,179,180
-73.98960876,40.75073624,4/29/15,19:15:05,19,6.5,1,6.5,-73.98236084,40.742733,4/29/15,19:22:49,19,1,1,20,75
-74.00227356,40.7265625,4/29/15,21:56:22,21,5.625,1.6,9,-73.98300171,40.73249054,4/29/15,22:07:15,22,0,1,106,79
-73.97819519,40.77806854,4/30/15,2:26:38,2,3.611111111,5.4,19.5,-73.91880035,40.73772812,4/30/15,2:46:09,2,1,1,180,88
-73.96380615,40.77685165,4/30/15,9:11:15,9,9,0.5,4.5,-73.96643066,40.77034378,4/30/15,9:14:56,9,0,1,179,179
-73.98889923,40.73068619,4/30/15,12:54:14,12,4.032258065,6.2,25,-74.00281525,40.68435669,4/30/15,13:25:07,13,0,1,188,161
-73.97576141,40.76138306,4/30/15,16:54:18,16,5.384615385,1.3,7,-73.97664642,40.77514648,4/30/15,17:01:57,17,1,1,20,184
-74.00512695,40.7155571,4/30/15,19:54:15,19,3.372093023,4.3,14.5,-73.9724884,40.7422142,4/30/15,20:05:25,20,1,1,106,75
-73.98220062,40.7727356,4/30/15,22:31:04,22,6.707317073,1.64,11,-73.9572525,40.76227188,4/30/15,22:46:32,22,1,1,180,129
-74.00188446,40.71930695,5/1/15,1:40:11,1,3.148148148,5.4,17,-73.95378876,40.66401291,5/1/15,1:56:45,1,1,1,106,80
-73.947258,40.77167892,5/1/15,6:53:25,6,4.716981132,1.59,7.5,-73.9659729,40.76514816,5/1/15,7:00:12,7,0,1,67,179
-73.99900055,40.71740341,5/16/15,13:05:13,13,7.142857143,1.12,8,-73.98892975,40.72763443,5/16/15,13:15:02,13,0,2,106,188
-73.95280457,40.78330612,5/16/15,14:51:21,14,4,3.75,15,-73.98653412,40.74006653,5/16/15,15:08:24,15,0,2,179,90
-73.99967957,40.71739197,5/1/15,12:14:26,12,7.37704918,1.22,9,-73.98889923,40.72751236,5/1/15,12:26:33,12,0,1,107,188
-73.86295319,40.76911926,5/1/15,14:02:46,14,3.407079646,11.3,38.5,-73.98845673,40.69347382,5/1/15,14:50:01,14,0,1,158,137
